Entity,Year,CO2 emissions (CDIAC and UN Population),Per capita CO2 emissions (CDIAC and UN Population),mtonpc
World,1751-01-01,0.011009999999999999,0.01346054,1.324
World,1752-01-01,0.011009999999999999,0.013391525,0.013391525
World,1753-01-01,0.011009999999999999,0.013324268,0.013324268
World,1754-01-01,0.011009999999999999,0.013258698999999999,0.013258698999999999
World,1755-01-01,0.011009999999999999,0.013194754,0.013194754
World,1756-01-01,0.011009999999999999,0.013132368,0.013132368
World,1757-01-01,0.011009999999999999,0.013071478000000001,0.013071478000000001
World,1758-01-01,0.011009999999999999,0.01301202,0.01301202
World,1759-01-01,0.011009999999999999,0.012953936000000001,0.012953936000000001
World,1760-01-01,0.011009999999999999,0.012897164,0.012897164
World,1761-01-01,0.011009999999999999,0.012841647,0.012841647
World,1762-01-01,0.011009999999999999,0.012787326000000002,0.012787326000000002
World,1763-01-01,0.011009999999999999,0.012734146000000002,0.012734146000000002
World,1764-01-01,0.011009999999999999,0.012682051000000001,0.012682051000000001
World,1765-01-01,0.011009999999999999,0.012630986,0.012630986
World,1766-01-01,0.011009999999999999,0.012580898,0.012580898
World,1767-01-01,0.011009999999999999,0.012531734,0.012531734
World,1768-01-01,0.011009999999999999,0.012483443,0.012483443
World,1769-01-01,0.011009999999999999,0.012435972,0.012435972
World,1770-01-01,0.011009999999999999,0.012389272,0.012389272
World,1771-01-01,0.01468,0.016457723,0.016457723
World,1772-01-01,0.01468,0.016397314,0.016397314
World,1773-01-01,0.01468,0.016337736999999998,0.016337736999999998
World,1774-01-01,0.01468,0.016278928,0.016278928
World,1775-01-01,0.01468,0.016220826,0.016220826
World,1776-01-01,0.01468,0.016163368,0.016163368
World,1777-01-01,0.01468,0.016106494,0.016106494
World,1778-01-01,0.01468,0.016050144,0.016050144
World,1779-01-01,0.01468,0.015994258,0.015994258
World,1780-01-01,0.01468,0.015938779,0.015938779
World,1781-01-01,0.01835,0.019854561,0.019854561
World,1782-01-01,0.01835,0.019786012,0.019786012
World,1783-01-01,0.01835,0.019717757,0.019717757
World,1784-01-01,0.01835,0.019649727,0.019649727
World,1785-01-01,0.01835,0.019581854,0.019581854
