objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587745541047256200,132.60292031,11.61789461,24.84997,25.12939,23.19275,22.02558,20.69473
587745541047256088,132.60293655,11.64502197,24.8648,23.56833,21.77243,20.77344,20.03872
587745541047255668,132.60327287,11.57994264,22.15594,21.32651,21.09655,20.84279,20.79429
587745243083506803,132.6033499,11.84902367,24.71587,25.32398,25.59862,24.74917,20.68814
587745243083506571,132.60335484,11.71772554,23.61515,24.19344,22.52603,21.38397,20.78796
587744873716384501,132.60353511,12.00911352,22.5884,25.59467,22.24008,24.29824,22.88802
587745243083506014,132.60356869,11.75826377,22.5364,19.64804,18.2928,17.07704,16.41288
587744873716384323,132.6035732,12.02984808,23.31057,23.11243,22.05709,20.15144,19.06672
587745541047255163,132.60359009,11.67136011,25.29287,23.92343,22.18346,21.00067,20.30398
587745541047255850,132.60381356,11.5608138,23.8564,23.25963,23.66667,23.71764,22.05534
587745541047255869,132.60408011,11.59820033,23.4349,22.16854,21.7682,21.63775,21.38768
587745541047256216,132.60434079,11.70037378,24.21962,25.02241,22.88863,21.51346,20.62033
587745541047255161,132.60441389,11.66517407,23.80614,22.32645,20.92249,20.14445,19.87087
587745541047256121,132.65276199,11.62330689,23.85765,24.49861,22.66326,22.04264,22.3749
587745243083505896,132.65276919,11.81535202,14.52938,13.30286,12.88185,12.75455,12.71849
587744873716384541,132.65281418,11.98273133,23.82982,23.6588,22.35288,21.90328,22.6396
587745243083506666,132.65281825,11.87134125,24.72613,24.22771,22.76654,21.79842,21.03954
587745541047255979,132.65302676,11.67155606,23.21485,22.30648,21.90905,21.53024,21.48405
587745243083505861,132.65306388,11.78542318,17.53403,15.86793,15.22424,14.98576,14.90079
587744873716384635,132.6531004,12.00928657,25.67763,25.22647,24.40862,25.23166,20.32611
587745243083505873,132.65331076,11.80141481,24.58197,20.09653,18.65869,17.7273,17.28631
587745243083505872,132.65343507,11.80020723,16.67461,15.05443,14.42485,14.18826,14.12902
587744873716384096,132.65377908,11.94548369,22.52021,19.81342,18.34827,17.56911,17.10582
587745541047255997,132.65402679,11.703463,23.27527,22.65316,21.97867,21.74358,21.26647
587745243083506153,132.65407989,11.75512919,23.6957,21.01853,19.56206,18.61339,18.05255
587744873716383777,132.65411997,11.90127761,16.39468,14.82918,14.19588,14.0022,13.89158
587745243083506659,132.65419355,11.83319352,24.32524,23.34783,22.63543,22.21196,22.4058
587745243083506233,132.65434887,11.87796697,21.8127,25.07032,24.12723,24.5973,22.11231
587745541047255698,132.65436373,11.57805679,22.62622,24.73357,24.89085,24.37897,22.68588
587745541047320597,132.70502513,11.59066566,24.04577,25.06498,22.96766,24.34335,22.80018
