z,Column1,Column2
0.04852381,17.57392,-19.0918450211766
0.1642807,17.07106,-22.4140605725699
0.09047463,16.36871,-21.7151513387121
0.08443944,17.79898,-20.1258220761165
0.108615,17.79844,-20.7092843376284
0.1082038,16.15275,-22.3461317964626
0.1380402,17.1092,-21.9615639484449
0.08471707,17.38863,-20.5437232610116
0.1076635,17.31155,-21.1756614574971
0.1645773,17.48971,-21.9997324306616
0.09104228,16.84115,-21.2571508800431
0.08473924,16.5304,-21.4025501408668
0.1377121,17.52715,-21.5379774385762
0.1095487,17.63453,-20.8931584042113
0.1075663,17.29763,-21.1874831783933
0.1060983,17.62819,-20.8249123224142
0.08542071,17.59869,-20.352689326929
0.1039087,17.67316,-20.7314206569511
0.4359096,20.26117,-21.6553850235548
0.1667602,18.58002,-20.941007251073
0.06139873,14.76052,-22.4366963416639
0.06188377,16.83626,-20.3788019575806
0.08596467,15.77524,-22.1907522320732
0.06053571,17.00871,-20.1564122189733
0.1045381,17.45087,-20.9677559047193
0.1009298,17.60233,-20.7346603323794
0.04725183,17.05288,-19.5531607848773
0.04727709,17.05288,-19.5543620675376
0.09408476,17.09683,-21.0774282712866
0.09410395,17.09683,-21.0778998428341
0.04144953,17.5862,-18.7259962651425
0.04146601,17.5862,-18.7268861506364
0.04576403,15.60794,-20.9262408607747
0.04574715,15.60794,-20.9254126623478
0.08390897,17.33113,-20.5791827310895
0.08386379,17.33113,-20.5779443524327
0.08476962,17.03823,-20.8955432574499
0.08477004,17.03823,-20.8955545803209
0.3007461,18.34489,-22.6236961959722
0.3007499,18.34489,-22.6237283425429
0.06563459,16.57525,-20.7734741053606
0.0655496,16.57525,-20.770527878936
0.2999851,18.62294,-22.339281501479
0.2998835,18.62294,-22.3384298744865
0.3712578,19.01504,-22.4879481161729
0.3703144,19.01504,-22.4814368097825
0.2056542,17.17235,-22.8554542709769
0.2057139,17.17235,-22.8561620927767
0.1806679,17.62286,-22.0908536900882
0.1803536,17.62286,-22.0866531631157
