z,mag_r,absmag_r
0.02127545,14.71968,-20.1111974497966
0.02122228,14.71968,-20.1056748432027
0.04809635,15.53398,-21.1118851632427
0.04808582,15.53398,-21.1113929328046
0.0456523,17.35265,-19.1760394762255
0.03580908,15.67598,-20.3094199115399
0.03580831,15.67598,-20.3093716596431
0.04567251,17.35265,-19.1770330459552
0.03074224,14.93852,-20.7073003115208
0.03073909,15.89872,-19.7468794152581
0.03070351,14.93852,-20.7044994146784
0.02174484,15.69396,-19.1850916594279
0.03076891,15.89872,-19.7490341260773
0.03645882,16.47228,-19.5532250683369
0.021758,15.69396,-19.1864280513692
0.03645184,16.47228,-19.5527980849607
0.03673035,15.54614,-20.495925167015
0.02158549,13.84081,-21.0219994751938
0.03674017,15.54614,-20.4965216261151
0.02160817,13.84081,-21.0243173680801
0.04707855,16.8336,-19.7641835587735
0.04712786,16.8336,-19.7665356219323
0.04576435,16.27365,-20.2605488064665
0.04570889,16.27365,-20.2578269589378
0.03801033,16.09158,-20.026952242342
0.03638333,16.2458,-19.7750841435601
0.03745268,17.04427,-19.0412598118033
0.03635695,16.2458,-19.7734657622809
0.0374546,17.04427,-19.0413741646577
0.03797853,16.09158,-20.0250831523653
0.02662709,15.91522,-19.4117622403083
0.02660205,15.91522,-19.4096778990909
0.02524959,14.22217,-20.9871876582058
0.0367165,16.43783,-19.6033926333585
0.03669919,16.43783,-19.6023408242953
0.02524963,14.22217,-20.9871905970973
0.03617733,14.20265,-21.8055703130028
0.03615803,14.20265,-21.8043800563562
0.03037806,15.13673,-20.4826207498921
0.03047678,16.0699,-19.5566534068003
0.03516777,16.21146,-19.7336534089568
0.03516901,16.21146,-19.7337317937682
0.0303838,15.13673,-20.4830402260296
0.03048641,16.0699,-19.5573552519826
0.03036829,15.26409,-20.354540306557
0.04892089,16.47492,-20.2091751267046
0.03032346,15.26409,-20.351258421937
0.04892132,16.47492,-20.2091949996222
0.02680829,14.37508,-20.9669303907812
0.02675972,14.37508,-20.9629126944294
0.0200758,14.2412,-20.4616491230015
0.03053254,14.90348,-20.7271386604033
0.0201233,14.2412,-20.4668595707753
0.03049692,14.90348,-20.7245458122679
0.02018126,15.19834,-19.5160660635295
0.02016207,15.19834,-19.5139681723342
