z,petroMag_r
0.09578907,17.76992
0.2035175,17.6523
0.1535261,17.62323
0.2246244,17.377
0.2247202,17.377
0.2247421,17.377
0.07563096,16.95657
0.0756647,16.95657
0.07566549,16.95657
0.07436623,16.54264
0.0744108,16.54264
0.07442714,16.54264
0.1736672,17.82493
0.1736286,17.82493
0.1736301,17.82493
0.07575908,17.12438
0.07574287,17.12438
0.07575108,17.12438
0.07402559,15.16359
0.07408302,15.16359
0.07406541,15.16359
0.08210266,17.32043
0.08205603,17.32043
0.2208094,17.36074
0.2208277,17.36074
0.2208342,17.36074
0.1096171,17.22343
0.1096712,17.22343
0.1096254,17.22343
0.1099914,17.09292
0.109975,17.09292
0.2837338,17.91226
0.2835364,17.91226
0.2835925,17.91226
0.2829691,19.20681
0.2830288,19.20681
0.2829761,19.20681
0.08287931,16.684
0.08283336,16.684
0.08289541,16.684
0.08232335,17.08472
0.08227807,17.08472
0.08230957,17.08472
0.1382753,17.31734
0.1382874,17.31734
0.1383291,17.31734
0.03386881,15.68885
0.03388264,15.68885
0.03387971,15.68885
0.07159798,17.78156
0.06621508,15.08085
0.2438521,18.09479
0.06607195,17.84905
0.08386771,17.36819
0.403097,19.79145
0.3942815,18.84155
0.1210005,17.48038
0.1501717,17.73469
0.03942682,16.14744
0.3431112,19.05889
0.08446532,17.80468
0.1614303,18.14497
0.1490031,17.65439
0.02321945,18.15402
0.02321316,18.15402
0.02321321,18.15402
0.07860401,17.75125
0.1807777,17.7676
0.1808735,17.7676
0.1808268,17.7676
0.1084637,16.16266
0.1084011,16.16266
0.1084238,16.16266
0.1091615,17.18969
0.1091444,17.18969
0.1092341,17.18969
0.1500745,17.14181
0.1501252,17.14181
0.1500955,17.14181
0.1067093,17.58072
0.1067786,17.58072
0.1065192,17.39785
0.1064725,17.39785
0.1064976,17.39785
0.1126887,17.30888
0.1126446,17.30888
0.05407239,16.3864
0.08132417,16.80564
0.1126191,17.30888
0.1083908,17.31867
0.1083088,17.31867
0.1083482,17.31867
0.1064942,17.65608
0.1065556,17.65608
0.1065233,17.65608
0.1099475,16.9742
0.1100068,16.9742
0.1100028,16.9742
0.1057002,17.66709
0.1057186,17.66709
0.1057174,17.66709
0.1054983,17.51223
0.1055694,17.51223
0.1067754,15.41348
0.1067053,15.41348
0.1067762,15.41348
0.08792177,17.24028
0.0878718,17.24028
0.08791193,17.24028
0.08405665,17.70168
0.08408105,17.70168
0.08408828,17.70168
0.08464312,16.64316
0.08462463,16.64316
0.08463446,16.64316
0.0802363,15.93186
0.08023216,15.93186
0.08027351,15.93186
0.1146305,17.12787
0.1146563,17.12787
0.1146443,17.12787
0.08581895,17.60708
0.08581989,17.60708
0.08580142,17.60708
0.08585291,17.41286
0.08584933,17.41286
0.08590288,17.41286
0.1102849,16.84876
0.1102697,16.84876
0.1102921,16.84876
0.08393086,17.66933
0.08390276,17.66933
0.08393278,17.66933
0.09105436,17.00301
0.09109166,17.00301
0.09115019,17.00301
0.2085709,17.38028
0.2085817,17.38028
0.1155389,16.82097
0.1154966,16.82097
0.1156654,16.52762
0.1157518,16.52762
0.1157569,16.52762
0.1152142,17.03752
0.1151336,17.03752
0.08165343,17.67234
0.1388319,17.74192
0.1388855,17.74192
0.1388662,17.74192
0.08023888,17.39237
0.08029854,17.39237
0.08030894,17.39237
0.08530157,17.87407
0.08538406,17.87407
0.08535606,17.87407
0.08144391,16.7086
0.08142326,16.7086
0.08138447,16.7086
0.08472934,16.95373
0.08474603,16.95373
0.08471613,16.95373
0.08570095,16.20003
0.08569192,16.20003
0.0856889,16.20003
0.1806096,17.47955
0.180576,17.47955
0.08446144,17.27704
0.0844533,17.27704
0.08446992,17.27704
0.08270374,16.89832
0.08268654,16.89832
0.08261908,16.89832
0.08157115,16.62202
0.08161217,16.62202
0.08161739,16.62202
