bin,Column1
-23.57,2
-23.48,2
-23.45,1
-23.4,1
-23.39,1
-23.36,1
-23.35,1
-23.3,2
-23.24,5
-23.22,2
-23.18,1
-23.17,4
-23.16,2
-23.15,2
-23.13,2
-23.12,1
-23.11,1
-23.1,1
-23.08,2
-23.07,2
-23.05,2
-23.04,2
-23.03,3
-23.01,3
-23,12
-22.99,3
-22.98,3
-22.97,2
-22.95,2
-22.94,2
-22.93,4
-22.92,4
-22.91,2
-22.9,4
-22.89,3
-22.88,2
-22.87,1
-22.86,2
-22.85,4
-22.84,5
-22.83,2
-22.82,5
-22.81,1
-22.8,8
-22.79,6
-22.78,8
-22.77,7
-22.76,10
-22.75,8
-22.74,1
-22.73,5
-22.72,11
-22.71,10
-22.7,6
-22.69,5
-22.68,5
-22.67,7
-22.66,5
-22.65,3
-22.64,8
-22.63,10
-22.62,9
-22.61,9
-22.6,12
-22.59,9
-22.58,17
-22.57,17
-22.56,11
-22.55,19
-22.54,12
-22.53,16
-22.52,12
-22.51,12
-22.5,16
-22.49,19
-22.48,11
-22.47,13
-22.46,14
-22.45,15
-22.44,20
-22.43,18
-22.42,12
-22.41,27
-22.4,27
-22.39,16
-22.38,21
-22.37,23
-22.36,25
-22.35,18
-22.34,24
-22.33,20
-22.32,20
-22.31,29
-22.3,25
-22.29,14
-22.28,27
-22.27,28
-22.26,25
-22.25,27
-22.24,35
-22.23,24
-22.22,22
-22.21,32
-22.2,23
-22.19,27
-22.18,23
-22.17,34
-22.16,34
-22.15,31
-22.14,47
-22.13,38
-22.12,26
-22.11,49
-22.1,39
-22.09,38
-22.08,43
-22.07,52
-22.06,40
-22.05,40
-22.04,57
-22.03,49
-22.02,40
-22.01,37
-22,43
-21.99,44
-21.98,42
-21.97,53
-21.96,62
-21.95,53
-21.94,61
-21.93,47
-21.92,54
-21.91,57
-21.9,70
-21.89,68
-21.88,69
-21.87,50
-21.86,71
-21.85,79
-21.84,73
-21.83,47
-21.82,62
-21.81,77
-21.8,61
-21.79,81
-21.78,76
-21.77,73
-21.76,88
-21.75,77
-21.74,80
-21.73,81
-21.72,91
-21.71,91
-21.7,81
-21.69,77
-21.68,82
-21.67,80
-21.66,90
-21.65,92
-21.64,93
-21.63,85
-21.62,90
-21.61,102
-21.6,100
-21.59,90
-21.58,120
-21.57,87
-21.56,107
-21.55,80
-21.54,100
-21.53,99
-21.52,108
-21.51,103
-21.5,104
-21.49,116
-21.48,103
-21.47,130
-21.46,128
-21.45,129
-21.44,102
-21.43,137
-21.42,127
-21.41,127
-21.4,128
-21.39,120
-21.38,130
-21.37,102
-21.36,140
-21.35,137
-21.34,158
-21.33,123
-21.32,135
-21.31,128
-21.3,136
-21.29,144
-21.28,147
-21.27,174
-21.26,146
-21.25,148
-21.24,154
-21.23,156
-21.22,126
-21.21,146
-21.2,146
-21.19,154
-21.18,133
-21.17,136
-21.16,160
-21.15,154
-21.14,157
-21.13,152
-21.12,162
-21.11,151
-21.1,184
-21.09,156
-21.08,158
-21.07,160
-21.06,172
-21.05,183
-21.04,164
-21.03,195
-21.02,150
-21.01,178
-21,194
-20.99,192
-20.98,189
-20.97,168
-20.96,140
-20.95,188
-20.94,175
-20.93,192
-20.92,187
-20.91,179
-20.9,176
-20.89,198
-20.88,182
-20.87,195
-20.86,200
-20.85,191
